contract_type_id,contract_type,customer_id,contract_type_id,paperless_billing,customer_id,churn_month,customer_id,gender,senior_citizen,partner,dependents,customer_id,payment_type_id,monthly_charges,total_charges,customer_id,signup_date,customer_id,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,internet_service_type_id,internet_service_type,payment_type_id,payment_type
1,Month-to-month,0094-OIFMO,1,Yes,0094-OIFMO,2022-01-31,0094-OIFMO,Female,1,No,No,0094-OIFMO,1,95,1120.3,0094-OIFMO,"2021-02-21 18:07:34",0094-OIFMO,Yes,No,2,No,Yes,No,No,Yes,Yes,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0107-WESLM,1,Yes,0107-WESLM,2022-01-31,0107-WESLM,Male,0,No,No,0107-WESLM,1,19.85,19.85,0107-WESLM,"2021-12-21 18:07:34",0107-WESLM,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",3,None,1,"Electronic check"
1,Month-to-month,0107-YHINA,1,Yes,0107-YHINA,2022-01-31,0107-YHINA,Male,0,No,Yes,0107-YHINA,1,99.75,99.75,0107-YHINA,"2021-12-21 18:07:34",0107-YHINA,Yes,Yes,2,No,No,Yes,No,Yes,Yes,2,"Fiber optic",1,"Electronic check"
2,"One year",0112-QWPNC,2,No,0112-QWPNC,2022-01-31,0112-QWPNC,Male,0,Yes,No,0112-QWPNC,1,84.35,4059.35,0112-QWPNC,"2017-12-21 18:07:34",0112-QWPNC,Yes,Yes,1,Yes,No,Yes,Yes,Yes,Yes,1,DSL,1,"Electronic check"
1,Month-to-month,0115-TFERT,1,Yes,0115-TFERT,2022-01-31,0115-TFERT,Male,0,Yes,No,0115-TFERT,1,111.2,2317.1,0115-TFERT,"2020-04-21 18:07:34",0115-TFERT,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0117-LFRMW,1,No,0117-LFRMW,2022-01-31,0117-LFRMW,Male,0,Yes,Yes,0117-LFRMW,3,40.2,1448.8,0117-LFRMW,"2018-12-21 18:07:34",0117-LFRMW,No,"No phone service",1,Yes,Yes,Yes,No,No,No,1,DSL,3,"Bank transfer (automatic)"
1,Month-to-month,0122-OAHPZ,1,Yes,0122-OAHPZ,2022-01-31,0122-OAHPZ,Female,0,No,No,0122-OAHPZ,1,73.85,511.25,0122-OAHPZ,"2021-06-21 18:07:34",0122-OAHPZ,Yes,Yes,2,No,No,No,No,No,No,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0125-LZQXK,1,Yes,0125-LZQXK,2022-01-31,0125-LZQXK,Male,0,No,No,0125-LZQXK,1,101.35,1553.95,0125-LZQXK,"2020-10-21 18:07:34",0125-LZQXK,Yes,No,2,No,No,Yes,Yes,Yes,Yes,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0133-BMFZO,1,Yes,0133-BMFZO,2022-01-31,0133-BMFZO,Female,0,No,No,0133-BMFZO,1,86.25,181.65,0133-BMFZO,"2021-11-21 18:07:34",0133-BMFZO,Yes,No,2,Yes,Yes,No,Yes,No,No,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0135-NMXAP,1,Yes,0135-NMXAP,2022-01-31,0135-NMXAP,Female,0,No,No,0135-NMXAP,3,89.75,1052.4,0135-NMXAP,"2021-01-21 18:07:34",0135-NMXAP,Yes,Yes,2,No,Yes,No,No,Yes,No,2,"Fiber optic",3,"Bank transfer (automatic)"
1,Month-to-month,0137-OCGAB,1,Yes,0137-OCGAB,2022-01-31,0137-OCGAB,Female,0,No,No,0137-OCGAB,2,80.2,80.2,0137-OCGAB,"2021-12-21 18:07:34",0137-OCGAB,Yes,Yes,2,No,Yes,No,No,No,No,2,"Fiber optic",2,"Mailed check"
1,Month-to-month,0137-UDEUO,1,No,0137-UDEUO,2022-01-31,0137-UDEUO,Female,0,No,No,0137-UDEUO,2,19.85,63.75,0137-UDEUO,"2021-10-21 18:07:34",0137-UDEUO,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",3,None,2,"Mailed check"
1,Month-to-month,0148-DCDOS,1,Yes,0148-DCDOS,2022-01-31,0148-DCDOS,Male,0,No,No,0148-DCDOS,3,94.7,2362.1,0148-DCDOS,"2019-12-21 18:07:34",0148-DCDOS,Yes,Yes,2,No,No,No,No,Yes,Yes,2,"Fiber optic",3,"Bank transfer (automatic)"
1,Month-to-month,0151-ONTOV,1,No,0151-ONTOV,2022-01-31,0151-ONTOV,Female,0,No,No,0151-ONTOV,2,70.9,70.9,0151-ONTOV,"2021-12-21 18:07:34",0151-ONTOV,Yes,No,2,No,No,No,No,No,No,2,"Fiber optic",2,"Mailed check"
1,Month-to-month,0156-FVPTA,1,Yes,0156-FVPTA,2022-01-31,0156-FVPTA,Male,0,Yes,No,0156-FVPTA,1,54.2,1152.7,0156-FVPTA,"2020-03-21 18:07:34",0156-FVPTA,Yes,No,1,Yes,No,No,Yes,No,No,1,DSL,1,"Electronic check"
2,"One year",0193-ESZXP,2,Yes,0193-ESZXP,2022-01-31,0193-ESZXP,Female,1,Yes,No,0193-ESZXP,4,105.5,6205.5,0193-ESZXP,"2017-03-21 18:07:34",0193-ESZXP,Yes,No,2,Yes,Yes,No,Yes,Yes,Yes,2,"Fiber optic",4,"Credit card (automatic)"
1,Month-to-month,0195-IESCP,1,Yes,0195-IESCP,2022-01-31,0195-IESCP,Male,0,Yes,No,0195-IESCP,1,85.25,855.3,0195-IESCP,"2021-03-21 18:07:34",0195-IESCP,Yes,Yes,2,No,No,No,No,No,Yes,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0196-VULGZ,1,Yes,0196-VULGZ,2022-01-31,0196-VULGZ,Female,1,Yes,No,0196-VULGZ,1,84.35,474.9,0196-VULGZ,"2021-07-21 18:07:34",0196-VULGZ,Yes,Yes,2,No,No,No,No,No,Yes,2,"Fiber optic",1,"Electronic check"
2,"One year",0201-OAMXR,2,No,0201-OAMXR,2022-01-31,0201-OAMXR,Female,0,No,No,0201-OAMXR,4,115.55,8127.6,0201-OAMXR,"2016-03-21 18:07:34",0201-OAMXR,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,2,"Fiber optic",4,"Credit card (automatic)"
2,"One year",0203-HHYIJ,2,No,0203-HHYIJ,2022-01-31,0203-HHYIJ,Male,0,No,No,0203-HHYIJ,3,25.3,676.35,0203-HHYIJ,"2019-12-21 18:07:34",0203-HHYIJ,Yes,Yes,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",3,None,3,"Bank transfer (automatic)"
1,Month-to-month,0207-MDKNV,1,No,0207-MDKNV,2022-01-31,0207-MDKNV,Female,0,No,No,0207-MDKNV,1,105.1,1582.75,0207-MDKNV,"2020-10-21 18:07:34",0207-MDKNV,Yes,No,2,Yes,No,Yes,Yes,Yes,Yes,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0219-YTZUE,1,Yes,0219-YTZUE,2022-01-31,0219-YTZUE,Male,0,Yes,Yes,0219-YTZUE,3,84.8,371.9,0219-YTZUE,"2021-09-21 18:07:34",0219-YTZUE,Yes,Yes,2,No,Yes,Yes,No,No,No,2,"Fiber optic",3,"Bank transfer (automatic)"
1,Month-to-month,0220-EBGCE,1,Yes,0220-EBGCE,2022-01-31,0220-EBGCE,Male,0,No,No,0220-EBGCE,1,85.85,167.3,0220-EBGCE,"2021-11-21 18:07:34",0220-EBGCE,Yes,No,2,No,No,Yes,No,No,Yes,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0224-HJAPT,1,No,0224-HJAPT,2022-01-31,0224-HJAPT,Male,0,No,No,0224-HJAPT,1,47.15,223.15,0224-HJAPT,"2021-08-21 18:07:34",0224-HJAPT,Yes,Yes,1,No,No,No,No,No,No,1,DSL,1,"Electronic check"
1,Month-to-month,0235-KGSLC,1,Yes,0235-KGSLC,2022-01-31,0235-KGSLC,Female,0,No,No,0235-KGSLC,4,85.55,85.55,0235-KGSLC,"2021-12-21 18:07:34",0235-KGSLC,Yes,No,2,No,No,Yes,No,Yes,No,2,"Fiber optic",4,"Credit card (automatic)"
1,Month-to-month,0256-LTHVJ,1,Yes,0256-LTHVJ,2022-01-31,0256-LTHVJ,Female,0,Yes,Yes,0256-LTHVJ,1,81.05,2227.1,0256-LTHVJ,"2019-09-21 18:07:34",0256-LTHVJ,Yes,No,2,No,No,No,No,No,Yes,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0257-ZESQC,1,Yes,0257-ZESQC,2022-01-31,0257-ZESQC,Female,1,Yes,No,0257-ZESQC,3,75.2,1929.35,0257-ZESQC,"2019-10-21 18:07:34",0257-ZESQC,Yes,No,2,Yes,No,No,No,No,No,2,"Fiber optic",3,"Bank transfer (automatic)"
1,Month-to-month,0260-ZDLGK,1,Yes,0260-ZDLGK,2022-01-31,0260-ZDLGK,Female,0,No,Yes,0260-ZDLGK,2,72.9,651.4,0260-ZDLGK,"2021-04-21 18:07:34",0260-ZDLGK,Yes,No,1,No,No,Yes,Yes,Yes,Yes,1,DSL,2,"Mailed check"
1,Month-to-month,0278-YXOOG,1,No,0278-YXOOG,2022-01-31,0278-YXOOG,Male,0,No,No,0278-YXOOG,2,21.05,113.85,0278-YXOOG,"2021-08-21 18:07:34",0278-YXOOG,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",3,None,2,"Mailed check"
1,Month-to-month,0280-XJGEX,1,Yes,0280-XJGEX,2022-01-31,0280-XJGEX,Male,0,No,No,0280-XJGEX,3,103.7,5036.3,0280-XJGEX,"2017-12-21 18:07:34",0280-XJGEX,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,2,"Fiber optic",3,"Bank transfer (automatic)"
1,Month-to-month,0295-PPHDO,1,Yes,0295-PPHDO,2022-01-31,0295-PPHDO,Male,0,No,No,0295-PPHDO,1,95.45,95.45,0295-PPHDO,"2021-12-21 18:07:34",0295-PPHDO,Yes,Yes,2,No,No,No,No,Yes,Yes,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0302-JOIVN,1,No,0302-JOIVN,2022-01-31,0302-JOIVN,Female,0,Yes,No,0302-JOIVN,1,101.15,842.9,0302-JOIVN,"2021-05-21 18:07:34",0302-JOIVN,Yes,No,2,No,Yes,Yes,No,Yes,Yes,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0306-JAELE,1,Yes,0306-JAELE,2022-01-31,0306-JAELE,Male,0,No,No,0306-JAELE,1,96.1,453.4,0306-JAELE,"2021-08-21 18:07:34",0306-JAELE,Yes,No,2,No,No,No,Yes,Yes,Yes,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0310-MVLET,1,Yes,0310-MVLET,2022-01-31,0310-MVLET,Female,0,Yes,Yes,0310-MVLET,1,99.15,6010.05,0310-MVLET,"2016-12-21 18:07:34",0310-MVLET,Yes,Yes,2,No,Yes,No,No,Yes,Yes,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0318-QUUOB,1,Yes,0318-QUUOB,2022-01-31,0318-QUUOB,Male,0,Yes,No,0318-QUUOB,1,80.55,80.55,0318-QUUOB,"2021-12-21 18:07:34",0318-QUUOB,Yes,No,2,No,No,No,No,Yes,No,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0320-JDNQG,1,Yes,0320-JDNQG,2022-01-31,0320-JDNQG,Male,0,Yes,Yes,0320-JDNQG,1,99.85,2331.3,0320-JDNQG,"2020-02-21 18:07:34",0320-JDNQG,Yes,No,2,Yes,No,No,Yes,Yes,Yes,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0322-YINQP,1,Yes,0322-YINQP,2022-01-31,0322-YINQP,Male,0,No,No,0322-YINQP,2,48.55,48.55,0322-YINQP,"2021-12-21 18:07:34",0322-YINQP,Yes,No,1,Yes,No,No,No,No,No,1,DSL,2,"Mailed check"
1,Month-to-month,0325-XBFAC,1,Yes,0325-XBFAC,2022-01-31,0325-XBFAC,Male,0,No,No,0325-XBFAC,1,94.7,740.3,0325-XBFAC,"2021-05-21 18:07:34",0325-XBFAC,Yes,No,2,No,No,Yes,No,Yes,Yes,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0328-GRPMV,1,Yes,0328-GRPMV,2022-01-31,0328-GRPMV,Female,0,No,No,0328-GRPMV,1,70.1,70.1,0328-GRPMV,"2021-12-21 18:07:34",0328-GRPMV,Yes,No,2,No,No,No,No,No,No,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0334-GDDSO,1,Yes,0334-GDDSO,2022-01-31,0334-GDDSO,Male,1,No,No,0334-GDDSO,1,81.35,233.7,0334-GDDSO,"2021-10-21 18:07:34",0334-GDDSO,Yes,Yes,2,No,Yes,No,No,No,No,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0348-SDKOL,1,Yes,0348-SDKOL,2022-01-31,0348-SDKOL,Female,0,Yes,No,0348-SDKOL,4,102.1,5885.4,0348-SDKOL,"2017-03-21 18:07:34",0348-SDKOL,Yes,Yes,2,No,No,Yes,Yes,Yes,Yes,2,"Fiber optic",4,"Credit card (automatic)"
1,Month-to-month,0363-QJVFX,1,Yes,0363-QJVFX,2022-01-31,0363-QJVFX,Male,0,No,No,0363-QJVFX,4,108.15,3432.9,0363-QJVFX,"2019-05-21 18:07:34",0363-QJVFX,Yes,Yes,2,Yes,Yes,No,Yes,Yes,Yes,2,"Fiber optic",4,"Credit card (automatic)"
1,Month-to-month,0375-HVGXO,1,Yes,0375-HVGXO,2022-01-31,0375-HVGXO,Female,0,No,No,0375-HVGXO,1,34.7,34.7,0375-HVGXO,"2021-12-21 18:07:34",0375-HVGXO,No,"No phone service",1,No,No,No,No,Yes,No,1,DSL,1,"Electronic check"
1,Month-to-month,0376-YMCJC,1,Yes,0376-YMCJC,2022-01-31,0376-YMCJC,Male,0,No,No,0376-YMCJC,1,90.6,1943.2,0376-YMCJC,"2020-02-21 18:07:34",0376-YMCJC,Yes,Yes,2,No,No,No,Yes,Yes,No,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0378-NHQXU,1,No,0378-NHQXU,2022-01-31,0378-NHQXU,Female,0,Yes,Yes,0378-NHQXU,1,88.25,1460.65,0378-NHQXU,"2020-08-21 18:07:34",0378-NHQXU,Yes,Yes,2,No,No,Yes,No,Yes,No,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0378-TOVMS,1,No,0378-TOVMS,2022-01-31,0378-TOVMS,Female,0,No,No,0378-TOVMS,1,85.8,272.2,0378-TOVMS,"2021-10-21 18:07:34",0378-TOVMS,Yes,No,2,No,No,No,Yes,No,Yes,2,"Fiber optic",1,"Electronic check"
2,"One year",0378-XSZPU,2,No,0378-XSZPU,2022-01-31,0378-XSZPU,Male,0,Yes,No,0378-XSZPU,4,60.3,3563.8,0378-XSZPU,"2017-03-21 18:07:34",0378-XSZPU,Yes,No,1,Yes,Yes,Yes,No,No,No,1,DSL,4,"Credit card (automatic)"
1,Month-to-month,0388-EOPEX,1,Yes,0388-EOPEX,2022-01-31,0388-EOPEX,Female,0,Yes,No,0388-EOPEX,1,74.4,139.4,0388-EOPEX,"2021-11-21 18:07:34",0388-EOPEX,Yes,No,2,Yes,No,No,No,No,No,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0390-DCFDQ,1,Yes,0390-DCFDQ,2022-01-31,0390-DCFDQ,Female,1,Yes,No,0390-DCFDQ,2,70.45,70.45,0390-DCFDQ,"2021-12-21 18:07:34",0390-DCFDQ,Yes,No,2,No,No,No,No,No,No,2,"Fiber optic",2,"Mailed check"
1,Month-to-month,0402-CQAJN,1,Yes,0402-CQAJN,2022-01-31,0402-CQAJN,Female,0,No,No,0402-CQAJN,3,101.9,3545.35,0402-CQAJN,"2018-12-21 18:07:34",0402-CQAJN,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,2,"Fiber optic",3,"Bank transfer (automatic)"
2,"One year",0406-BPDVR,2,Yes,0406-BPDVR,2022-01-31,0406-BPDVR,Female,1,Yes,No,0406-BPDVR,4,101.5,5373.1,0406-BPDVR,"2017-07-21 18:07:34",0406-BPDVR,Yes,Yes,2,No,Yes,No,No,Yes,Yes,2,"Fiber optic",4,"Credit card (automatic)"
1,Month-to-month,0407-BDJKB,1,Yes,0407-BDJKB,2022-01-31,0407-BDJKB,Male,0,Yes,No,0407-BDJKB,1,95.75,5742.9,0407-BDJKB,"2017-01-21 18:07:34",0407-BDJKB,Yes,Yes,2,No,Yes,Yes,No,Yes,No,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0415-MOSGF,1,No,0415-MOSGF,2022-01-31,0415-MOSGF,Female,0,No,No,0415-MOSGF,2,44.4,44.4,0415-MOSGF,"2021-12-21 18:07:34",0415-MOSGF,Yes,No,1,No,No,No,No,No,No,1,DSL,2,"Mailed check"
2,"One year",0431-APWVY,2,Yes,0431-APWVY,2022-01-31,0431-APWVY,Female,0,Yes,Yes,0431-APWVY,3,90.1,2598.95,0431-APWVY,"2019-09-21 18:07:34",0431-APWVY,Yes,No,2,No,No,No,No,Yes,Yes,2,"Fiber optic",3,"Bank transfer (automatic)"
1,Month-to-month,0447-BEMNG,1,Yes,0447-BEMNG,2022-01-31,0447-BEMNG,Female,0,Yes,No,0447-BEMNG,3,45.3,2145,0447-BEMNG,"2018-01-21 18:07:34",0447-BEMNG,No,"No phone service",1,Yes,No,Yes,No,No,Yes,1,DSL,3,"Bank transfer (automatic)"
1,Month-to-month,0461-CVKMU,1,No,0461-CVKMU,2022-01-31,0461-CVKMU,Female,0,Yes,Yes,0461-CVKMU,1,83.8,1900.25,0461-CVKMU,"2020-02-21 18:07:34",0461-CVKMU,Yes,No,2,No,Yes,Yes,Yes,No,No,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0475-RIJEP,1,Yes,0475-RIJEP,2022-01-31,0475-RIJEP,Male,0,No,No,0475-RIJEP,1,77.85,3365.85,0475-RIJEP,"2018-06-21 18:07:34",0475-RIJEP,Yes,Yes,2,No,Yes,No,No,No,No,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0495-ZBNGW,1,Yes,0495-ZBNGW,2022-01-31,0495-ZBNGW,Male,1,Yes,No,0495-ZBNGW,3,79.9,343.95,0495-ZBNGW,"2021-08-21 18:07:34",0495-ZBNGW,Yes,Yes,2,No,No,Yes,No,No,No,2,"Fiber optic",3,"Bank transfer (automatic)"
1,Month-to-month,0504-HHAPI,1,No,0504-HHAPI,2022-01-31,0504-HHAPI,Female,1,No,No,0504-HHAPI,4,88.3,2467.75,0504-HHAPI,"2019-10-21 18:07:34",0504-HHAPI,Yes,Yes,2,No,No,Yes,No,No,Yes,2,"Fiber optic",4,"Credit card (automatic)"
1,Month-to-month,0506-LVNGN,1,Yes,0506-LVNGN,2022-01-31,0506-LVNGN,Female,1,No,No,0506-LVNGN,4,75.55,349.65,0506-LVNGN,"2021-08-21 18:07:34",0506-LVNGN,Yes,No,2,No,No,Yes,No,No,No,2,"Fiber optic",4,"Credit card (automatic)"
1,Month-to-month,0515-YPMCW,1,Yes,0515-YPMCW,2022-01-31,0515-YPMCW,Male,0,No,Yes,0515-YPMCW,2,70.45,70.45,0515-YPMCW,"2021-12-21 18:07:34",0515-YPMCW,Yes,No,2,No,No,No,No,No,No,2,"Fiber optic",2,"Mailed check"
2,"One year",0516-VRYBW,2,No,0516-VRYBW,2022-01-31,0516-VRYBW,Female,0,No,Yes,0516-VRYBW,3,20.15,390.85,0516-VRYBW,"2020-07-21 18:07:34",0516-VRYBW,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",3,None,3,"Bank transfer (automatic)"
1,Month-to-month,0516-WJVXC,1,No,0516-WJVXC,2022-01-31,0516-WJVXC,Female,0,No,No,0516-WJVXC,1,54.2,308.25,0516-WJVXC,"2021-08-21 18:07:34",0516-WJVXC,Yes,No,1,Yes,No,No,Yes,No,No,1,DSL,1,"Electronic check"
1,Month-to-month,0529-ONKER,1,No,0529-ONKER,2022-01-31,0529-ONKER,Male,1,No,No,0529-ONKER,1,75.65,1146.65,0529-ONKER,"2020-10-21 18:07:34",0529-ONKER,Yes,Yes,2,No,No,No,No,No,No,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0576-WNXXC,1,Yes,0576-WNXXC,2022-01-31,0576-WNXXC,Male,1,Yes,No,0576-WNXXC,1,95.55,2510.2,0576-WNXXC,"2019-10-21 18:07:34",0576-WNXXC,Yes,Yes,2,No,Yes,Yes,No,No,Yes,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0578-SKVMF,1,No,0578-SKVMF,2022-01-31,0578-SKVMF,Female,0,Yes,Yes,0578-SKVMF,1,83.3,1845.9,0578-SKVMF,"2020-03-21 18:07:34",0578-SKVMF,Yes,No,2,No,Yes,No,No,No,Yes,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0596-BQCEQ,1,Yes,0596-BQCEQ,2022-01-31,0596-BQCEQ,Female,0,Yes,Yes,0596-BQCEQ,1,100.15,6283.3,0596-BQCEQ,"2016-11-21 18:07:34",0596-BQCEQ,Yes,No,2,No,Yes,Yes,No,Yes,Yes,2,"Fiber optic",1,"Electronic check"
3,"Two year",0607-DAAHE,3,No,0607-DAAHE,2022-01-31,0607-DAAHE,Male,0,No,Yes,0607-DAAHE,3,19.75,1052.35,0607-DAAHE,"2017-08-21 18:07:34",0607-DAAHE,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",3,None,3,"Bank transfer (automatic)"
1,Month-to-month,0611-DFXKO,1,Yes,0611-DFXKO,2022-01-31,0611-DFXKO,Male,0,Yes,No,0611-DFXKO,2,89,1820.45,0611-DFXKO,"2020-05-21 18:07:34",0611-DFXKO,Yes,No,2,No,No,No,No,Yes,Yes,2,"Fiber optic",2,"Mailed check"
1,Month-to-month,0618-XWMSS,1,Yes,0618-XWMSS,2022-01-31,0618-XWMSS,Male,0,No,Yes,0618-XWMSS,3,74.9,2068.55,0618-XWMSS,"2019-09-21 18:07:34",0618-XWMSS,Yes,No,2,Yes,No,No,No,No,No,2,"Fiber optic",3,"Bank transfer (automatic)"
1,Month-to-month,0621-TWIEM,1,Yes,0621-TWIEM,2022-01-31,0621-TWIEM,Male,0,No,No,0621-TWIEM,1,45.55,402.6,0621-TWIEM,"2021-03-21 18:07:34",0621-TWIEM,Yes,No,1,No,No,No,No,No,No,1,DSL,1,"Electronic check"
1,Month-to-month,0637-YLETY,1,Yes,0637-YLETY,2022-01-31,0637-YLETY,Female,0,No,No,0637-YLETY,4,95.6,1555.65,0637-YLETY,"2020-09-21 18:07:34",0637-YLETY,Yes,Yes,2,No,Yes,Yes,No,No,Yes,2,"Fiber optic",4,"Credit card (automatic)"
1,Month-to-month,0655-RBDUG,1,Yes,0655-RBDUG,2022-01-31,0655-RBDUG,Male,0,No,No,0655-RBDUG,3,98.05,713,0655-RBDUG,"2021-06-21 18:07:34",0655-RBDUG,Yes,Yes,2,No,No,Yes,No,Yes,Yes,2,"Fiber optic",3,"Bank transfer (automatic)"
1,Month-to-month,0661-XEYAN,1,Yes,0661-XEYAN,2022-01-31,0661-XEYAN,Female,1,No,No,0661-XEYAN,2,25.8,25.8,0661-XEYAN,"2021-12-21 18:07:34",0661-XEYAN,No,"No phone service",1,No,No,No,No,No,No,1,DSL,2,"Mailed check"
1,Month-to-month,0680-DFNNY,1,Yes,0680-DFNNY,2022-01-31,0680-DFNNY,Male,0,Yes,No,0680-DFNNY,1,101.1,1504.05,0680-DFNNY,"2020-10-21 18:07:34",0680-DFNNY,Yes,Yes,2,No,No,Yes,No,Yes,Yes,2,"Fiber optic",1,"Electronic check"
1,Month-to-month,0685-MLYYM,1,No,0685-MLYYM,2022-01-31,0685-MLYYM,Female,1,No,No,0685-MLYYM,1,70.75,154.85,0685-MLYYM,"2021-11-21 18:07:34",0685-MLYYM,Yes,No,2,No,No,No,No,No,No,2,"Fiber optic",1,"Electronic check"
2,"One year",0687-ZVTHB,2,No,0687-ZVTHB,2022-01-31,0687-ZVTHB,Male,0,Yes,Yes,0687-ZVTHB,4,72.45,4653.85,0687-ZVTHB,"2016-08-21 18:07:34",0687-ZVTHB,Yes,Yes,1,Yes,Yes,Yes,No,No,Yes,1,DSL,4,"Credit card (automatic)"
