customer_id,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,customer_id,signup_date,customer_id,contract_type_id,paperless_billing,customer_id,gender,senior_citizen,partner,dependents,customer_id,payment_type_id,monthly_charges,total_charges,customer_id,churn_month,payment_type_id,payment_type,internet_service_type_id,internet_service_type,contract_type_id,contract_type
0017-DINOC,No,"No phone service",1,Yes,No,No,Yes,Yes,No,0017-DINOC,"2017-07-21 18:07:34",0017-DINOC,3,No,0017-DINOC,Male,0,No,No,0017-DINOC,4,45.2,2460.55,NULL,NULL,4,"Credit card (automatic)",1,DSL,3,"Two year"
0017-IUDMW,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,0017-IUDMW,"2016-01-21 18:07:34",0017-IUDMW,3,Yes,0017-IUDMW,Female,0,Yes,Yes,0017-IUDMW,4,116.8,8456.75,NULL,NULL,4,"Credit card (automatic)",2,"Fiber optic",3,"Two year"
0018-NYROU,Yes,No,2,No,No,No,No,No,No,0018-NYROU,"2021-08-21 18:07:34",0018-NYROU,1,Yes,0018-NYROU,Female,0,Yes,No,0018-NYROU,1,68.95,351.5,NULL,NULL,1,"Electronic check",2,"Fiber optic",1,Month-to-month
0019-EFAEP,Yes,Yes,2,Yes,Yes,Yes,No,Yes,No,0019-EFAEP,"2016-01-21 18:07:34",0019-EFAEP,3,Yes,0019-EFAEP,Female,0,No,No,0019-EFAEP,3,101.3,7261.25,NULL,NULL,3,"Bank transfer (automatic)",2,"Fiber optic",3,"Two year"
0019-GFNTW,No,"No phone service",1,Yes,Yes,Yes,Yes,No,No,0019-GFNTW,"2017-05-21 18:07:34",0019-GFNTW,3,No,0019-GFNTW,Female,0,No,No,0019-GFNTW,3,45.05,2560.1,NULL,NULL,3,"Bank transfer (automatic)",1,DSL,3,"Two year"
0020-INWCK,Yes,Yes,2,No,Yes,Yes,No,No,Yes,0020-INWCK,"2016-02-21 18:07:34",0020-INWCK,3,Yes,0020-INWCK,Female,0,Yes,Yes,0020-INWCK,4,95.75,6849.4,NULL,NULL,4,"Credit card (automatic)",2,"Fiber optic",3,"Two year"
0020-JDNXP,No,"No phone service",1,Yes,No,Yes,Yes,Yes,Yes,0020-JDNXP,"2019-03-21 18:07:34",0020-JDNXP,2,No,0020-JDNXP,Female,0,Yes,Yes,0020-JDNXP,2,61.25,1993.2,NULL,NULL,2,"Mailed check",1,DSL,2,"One year"
0021-IKXGC,Yes,Yes,2,No,No,No,No,No,No,0021-IKXGC,"2021-12-21 18:07:34",0021-IKXGC,1,Yes,0021-IKXGC,Female,1,No,No,0021-IKXGC,1,72.1,72.1,NULL,NULL,1,"Electronic check",2,"Fiber optic",1,Month-to-month
0022-TCJCI,Yes,No,1,Yes,No,Yes,No,No,Yes,0022-TCJCI,"2018-04-21 18:07:34",0022-TCJCI,2,No,0022-TCJCI,Male,1,No,No,0022-TCJCI,4,62.7,2791.5,0022-TCJCI,2022-01-31,4,"Credit card (automatic)",1,DSL,2,"One year"
0023-HGHWL,No,"No phone service",1,No,No,No,No,No,No,0023-HGHWL,"2021-12-21 18:07:34",0023-HGHWL,1,Yes,0023-HGHWL,Male,1,No,No,0023-HGHWL,1,25.1,25.1,0023-HGHWL,2022-01-31,1,"Electronic check",1,DSL,1,Month-to-month
0023-UYUPN,Yes,Yes,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0023-UYUPN,"2017-11-21 18:07:34",0023-UYUPN,2,No,0023-UYUPN,Female,1,Yes,No,0023-UYUPN,1,25.2,1306.3,NULL,NULL,1,"Electronic check",3,None,2,"One year"
0023-XUOPT,Yes,Yes,2,No,Yes,Yes,No,Yes,No,0023-XUOPT,"2020-12-21 18:07:34",0023-XUOPT,1,No,0023-XUOPT,Female,0,Yes,No,0023-XUOPT,1,94.1,1215.6,0023-XUOPT,2022-01-31,1,"Electronic check",2,"Fiber optic",1,Month-to-month
0027-KWYKW,Yes,Yes,2,No,No,No,No,Yes,No,0027-KWYKW,"2020-02-21 18:07:34",0027-KWYKW,1,Yes,0027-KWYKW,Female,0,Yes,Yes,0027-KWYKW,1,83.75,1849.95,NULL,NULL,1,"Electronic check",2,"Fiber optic",1,Month-to-month
0030-FNXPP,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0030-FNXPP,"2021-10-21 18:07:34",0030-FNXPP,1,No,0030-FNXPP,Female,0,No,No,0030-FNXPP,2,19.85,57.2,NULL,NULL,2,"Mailed check",3,None,1,Month-to-month
0031-PVLZI,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0031-PVLZI,"2021-09-21 18:07:34",0031-PVLZI,1,No,0031-PVLZI,Female,0,Yes,Yes,0031-PVLZI,2,20.35,76.35,0031-PVLZI,2022-01-31,2,"Mailed check",3,None,1,Month-to-month
0032-PGELS,No,"No phone service",1,Yes,No,No,No,No,No,0032-PGELS,"2021-12-21 18:07:34",0032-PGELS,1,No,0032-PGELS,Female,0,Yes,Yes,0032-PGELS,3,30.5,30.5,0032-PGELS,2022-01-31,3,"Bank transfer (automatic)",1,DSL,1,Month-to-month
0036-IHMOT,Yes,No,2,No,Yes,Yes,Yes,Yes,Yes,0036-IHMOT,"2017-06-21 18:07:34",0036-IHMOT,2,Yes,0036-IHMOT,Female,0,Yes,Yes,0036-IHMOT,3,103.7,5656.75,NULL,NULL,3,"Bank transfer (automatic)",2,"Fiber optic",2,"One year"
0040-HALCW,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0040-HALCW,"2017-07-21 18:07:34",0040-HALCW,3,No,0040-HALCW,Male,0,Yes,Yes,0040-HALCW,4,20.4,1090.6,NULL,NULL,4,"Credit card (automatic)",3,None,3,"Two year"
0042-JVWOJ,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0042-JVWOJ,"2019-11-21 18:07:34",0042-JVWOJ,2,Yes,0042-JVWOJ,Male,0,No,No,0042-JVWOJ,3,19.6,471.85,NULL,NULL,3,"Bank transfer (automatic)",3,None,2,"One year"
0042-RLHYP,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0042-RLHYP,"2016-04-21 18:07:34",0042-RLHYP,3,No,0042-RLHYP,Female,0,Yes,Yes,0042-RLHYP,3,19.7,1396.9,NULL,NULL,3,"Bank transfer (automatic)",3,None,3,"Two year"
0048-LUMLS,Yes,No,2,No,No,No,No,Yes,Yes,0048-LUMLS,"2018-12-21 18:07:34",0048-LUMLS,2,No,0048-LUMLS,Male,0,Yes,Yes,0048-LUMLS,4,91.2,3247.55,NULL,NULL,4,"Credit card (automatic)",2,"Fiber optic",2,"One year"
0048-PIHNL,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0048-PIHNL,"2017-12-21 18:07:34",0048-PIHNL,2,No,0048-PIHNL,Female,0,Yes,No,0048-PIHNL,3,20.45,900.9,NULL,NULL,3,"Bank transfer (automatic)",3,None,2,"One year"
0052-DCKON,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,0052-DCKON,"2016-07-21 18:07:34",0052-DCKON,2,No,0052-DCKON,Male,0,Yes,No,0052-DCKON,3,115.8,7942.15,NULL,NULL,3,"Bank transfer (automatic)",2,"Fiber optic",2,"One year"
0052-YNYOT,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0052-YNYOT,"2016-06-21 18:07:34",0052-YNYOT,2,No,0052-YNYOT,Female,0,No,No,0052-YNYOT,1,20.55,1343.4,NULL,NULL,1,"Electronic check",3,None,2,"One year"
0056-EPFBG,No,"No phone service",1,Yes,No,Yes,Yes,No,No,0056-EPFBG,"2020-05-21 18:07:34",0056-EPFBG,3,Yes,0056-EPFBG,Male,0,Yes,Yes,0056-EPFBG,4,39.4,825.4,NULL,NULL,4,"Credit card (automatic)",1,DSL,3,"Two year"
0057-QBUQH,Yes,Yes,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0057-QBUQH,"2018-06-21 18:07:34",0057-QBUQH,3,Yes,0057-QBUQH,Female,0,No,Yes,0057-QBUQH,1,25.1,1070.15,NULL,NULL,1,"Electronic check",3,None,3,"Two year"
0058-EVZWM,Yes,Yes,2,Yes,No,No,No,Yes,No,0058-EVZWM,"2017-06-21 18:07:34",0058-EVZWM,1,Yes,0058-EVZWM,Female,0,Yes,No,0058-EVZWM,3,89.8,4959.6,NULL,NULL,3,"Bank transfer (automatic)",2,"Fiber optic",1,Month-to-month
0060-FUALY,Yes,Yes,2,Yes,Yes,No,No,Yes,No,0060-FUALY,"2017-02-21 18:07:34",0060-FUALY,1,Yes,0060-FUALY,Female,0,Yes,No,0060-FUALY,1,94.75,5597.65,NULL,NULL,1,"Electronic check",2,"Fiber optic",1,Month-to-month
0064-SUDOG,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0064-SUDOG,"2021-01-21 18:07:34",0064-SUDOG,3,No,0064-SUDOG,Female,0,Yes,Yes,0064-SUDOG,3,20.3,224.5,NULL,NULL,3,"Bank transfer (automatic)",3,None,3,"Two year"
0064-YIJGF,Yes,Yes,2,No,No,No,No,No,No,0064-YIJGF,"2019-10-21 18:07:34",0064-YIJGF,1,Yes,0064-YIJGF,Male,0,Yes,Yes,0064-YIJGF,3,75.75,1929,NULL,NULL,3,"Bank transfer (automatic)",2,"Fiber optic",1,Month-to-month
0067-DKWBL,Yes,No,1,Yes,No,No,No,No,No,0067-DKWBL,"2021-11-21 18:07:34",0067-DKWBL,1,Yes,0067-DKWBL,Male,1,No,No,0067-DKWBL,1,49.25,91.1,0067-DKWBL,2022-01-31,1,"Electronic check",1,DSL,1,Month-to-month
0068-FIGTF,Yes,No,1,No,Yes,Yes,Yes,Yes,Yes,0068-FIGTF,"2019-10-21 18:07:34",0068-FIGTF,2,No,0068-FIGTF,Female,0,No,No,0068-FIGTF,2,78.2,2078.95,NULL,NULL,2,"Mailed check",1,DSL,2,"One year"
0071-NDAFP,Yes,Yes,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0071-NDAFP,"2019-12-21 18:07:34",0071-NDAFP,3,No,0071-NDAFP,Male,0,Yes,Yes,0071-NDAFP,4,25.5,630.6,NULL,NULL,4,"Credit card (automatic)",3,None,3,"Two year"
0074-HDKDG,Yes,No,1,Yes,Yes,Yes,No,No,No,0074-HDKDG,"2019-12-21 18:07:34",0074-HDKDG,2,Yes,0074-HDKDG,Male,0,Yes,Yes,0074-HDKDG,3,61.6,1611,NULL,NULL,3,"Bank transfer (automatic)",1,DSL,2,"One year"
0076-LVEPS,No,"No phone service",1,Yes,Yes,Yes,Yes,No,No,0076-LVEPS,"2019-08-21 18:07:34",0076-LVEPS,1,Yes,0076-LVEPS,Male,0,No,Yes,0076-LVEPS,2,45,1242.45,NULL,NULL,2,"Mailed check",1,DSL,1,Month-to-month
0078-XZMHT,Yes,Yes,1,No,Yes,Yes,Yes,Yes,Yes,0078-XZMHT,"2016-01-21 18:07:34",0078-XZMHT,3,Yes,0078-XZMHT,Male,0,Yes,No,0078-XZMHT,3,85.15,6316.2,NULL,NULL,3,"Bank transfer (automatic)",1,DSL,3,"Two year"
0080-EMYVY,Yes,No,1,No,Yes,No,No,No,No,0080-EMYVY,"2020-11-21 18:07:34",0080-EMYVY,2,No,0080-EMYVY,Female,0,No,No,0080-EMYVY,4,51.45,727.85,NULL,NULL,4,"Credit card (automatic)",1,DSL,2,"One year"
0080-OROZO,Yes,No,2,No,No,Yes,Yes,Yes,Yes,0080-OROZO,"2019-02-21 18:07:34",0080-OROZO,2,Yes,0080-OROZO,Female,0,No,No,0080-OROZO,1,99.25,3532,NULL,NULL,1,"Electronic check",2,"Fiber optic",2,"One year"
0082-LDZUE,Yes,No,1,No,No,No,No,No,No,0082-LDZUE,"2021-12-21 18:07:34",0082-LDZUE,1,Yes,0082-LDZUE,Male,0,No,No,0082-LDZUE,2,44.3,44.3,NULL,NULL,2,"Mailed check",1,DSL,1,Month-to-month
0082-OQIQY,Yes,No,2,No,No,No,Yes,Yes,Yes,0082-OQIQY,"2019-08-21 18:07:34",0082-OQIQY,1,Yes,0082-OQIQY,Male,0,No,No,0082-OQIQY,1,94.2,2607.6,NULL,NULL,1,"Electronic check",2,"Fiber optic",1,Month-to-month
0083-PIVIK,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0083-PIVIK,"2016-09-21 18:07:34",0083-PIVIK,2,No,0083-PIVIK,Male,0,No,No,0083-PIVIK,1,81.25,5567.55,NULL,NULL,1,"Electronic check",1,DSL,2,"One year"
0089-IIQKO,Yes,Yes,2,No,No,No,Yes,Yes,Yes,0089-IIQKO,"2018-10-21 18:07:34",0089-IIQKO,1,Yes,0089-IIQKO,Female,0,Yes,Yes,0089-IIQKO,4,99.95,3767.4,NULL,NULL,4,"Credit card (automatic)",2,"Fiber optic",1,Month-to-month
0093-EXYQL,Yes,No,2,No,No,No,No,Yes,Yes,0093-EXYQL,"2018-09-21 18:07:34",0093-EXYQL,1,Yes,0093-EXYQL,Female,1,No,No,0093-EXYQL,1,91.55,3673.6,NULL,NULL,1,"Electronic check",2,"Fiber optic",1,Month-to-month
0093-XWZFY,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,0093-XWZFY,"2018-09-21 18:07:34",0093-XWZFY,1,Yes,0093-XWZFY,Male,0,No,No,0093-XWZFY,4,104.5,4036.85,0093-XWZFY,2022-01-31,4,"Credit card (automatic)",2,"Fiber optic",1,Month-to-month
0094-OIFMO,Yes,No,2,No,Yes,No,No,Yes,Yes,0094-OIFMO,"2021-02-21 18:07:34",0094-OIFMO,1,Yes,0094-OIFMO,Female,1,No,No,0094-OIFMO,1,95,1120.3,0094-OIFMO,2022-01-31,1,"Electronic check",2,"Fiber optic",1,Month-to-month
0096-BXERS,Yes,Yes,1,No,No,No,No,No,No,0096-BXERS,"2021-07-21 18:07:34",0096-BXERS,1,No,0096-BXERS,Female,0,Yes,No,0096-BXERS,1,50.35,314.55,NULL,NULL,1,"Electronic check",1,DSL,1,Month-to-month
0096-FCPUF,Yes,Yes,1,Yes,No,No,No,No,Yes,0096-FCPUF,"2019-07-21 18:07:34",0096-FCPUF,1,Yes,0096-FCPUF,Male,0,No,No,0096-FCPUF,2,64.5,1888.45,NULL,NULL,2,"Mailed check",1,DSL,1,Month-to-month
0098-BOWSO,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0098-BOWSO,"2019-10-21 18:07:34",0098-BOWSO,1,Yes,0098-BOWSO,Male,0,No,No,0098-BOWSO,1,19.4,529.8,NULL,NULL,1,"Electronic check",3,None,1,Month-to-month
0100-DUVFC,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,0100-DUVFC,"2016-03-21 18:07:34",0100-DUVFC,2,Yes,0100-DUVFC,Male,1,Yes,No,0100-DUVFC,1,104.8,7308.95,NULL,NULL,1,"Electronic check",2,"Fiber optic",2,"One year"
0103-CSITQ,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes,0103-CSITQ,"2017-04-21 18:07:34",0103-CSITQ,2,Yes,0103-CSITQ,Female,0,Yes,No,0103-CSITQ,3,109.4,6252.7,NULL,NULL,3,"Bank transfer (automatic)",2,"Fiber optic",2,"One year"
0104-PPXDV,Yes,No,1,No,No,Yes,No,No,No,0104-PPXDV,"2017-03-21 18:07:34",0104-PPXDV,2,No,0104-PPXDV,Male,0,Yes,No,0104-PPXDV,4,50.3,2878.55,NULL,NULL,4,"Credit card (automatic)",1,DSL,2,"One year"
0106-GHRQR,Yes,Yes,1,No,Yes,Yes,No,No,Yes,0106-GHRQR,"2020-09-21 18:07:34",0106-GHRQR,1,Yes,0106-GHRQR,Male,0,No,No,0106-GHRQR,3,71.4,1212.1,NULL,NULL,3,"Bank transfer (automatic)",1,DSL,1,Month-to-month
0106-UGRDO,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,0106-UGRDO,"2016-04-21 18:07:34",0106-UGRDO,3,Yes,0106-UGRDO,Female,0,Yes,No,0106-UGRDO,1,116,8182.85,NULL,NULL,1,"Electronic check",2,"Fiber optic",3,"Two year"
0107-WESLM,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0107-WESLM,"2021-12-21 18:07:34",0107-WESLM,1,Yes,0107-WESLM,Male,0,No,No,0107-WESLM,1,19.85,19.85,0107-WESLM,2022-01-31,1,"Electronic check",3,None,1,Month-to-month
0107-YHINA,Yes,Yes,2,No,No,Yes,No,Yes,Yes,0107-YHINA,"2021-12-21 18:07:34",0107-YHINA,1,Yes,0107-YHINA,Male,0,No,Yes,0107-YHINA,1,99.75,99.75,0107-YHINA,2022-01-31,1,"Electronic check",2,"Fiber optic",1,Month-to-month
0111-KLBQG,Yes,No,2,No,Yes,No,No,Yes,Yes,0111-KLBQG,"2019-05-21 18:07:34",0111-KLBQG,1,Yes,0111-KLBQG,Male,1,Yes,Yes,0111-KLBQG,2,93.95,2861.45,NULL,NULL,2,"Mailed check",2,"Fiber optic",1,Month-to-month
0112-QAWRZ,Yes,Yes,2,No,No,Yes,No,Yes,No,0112-QAWRZ,"2020-09-21 18:07:34",0112-QAWRZ,1,Yes,0112-QAWRZ,Male,0,Yes,Yes,0112-QAWRZ,3,90.8,1442.2,NULL,NULL,3,"Bank transfer (automatic)",2,"Fiber optic",1,Month-to-month
0112-QWPNC,Yes,Yes,1,Yes,No,Yes,Yes,Yes,Yes,0112-QWPNC,"2017-12-21 18:07:34",0112-QWPNC,2,No,0112-QWPNC,Male,0,Yes,No,0112-QWPNC,1,84.35,4059.35,0112-QWPNC,2022-01-31,1,"Electronic check",1,DSL,2,"One year"
0114-IGABW,No,"No phone service",1,No,Yes,Yes,Yes,Yes,Yes,0114-IGABW,"2016-02-21 18:07:34",0114-IGABW,3,No,0114-IGABW,Female,0,Yes,No,0114-IGABW,3,58.25,4145.9,NULL,NULL,3,"Bank transfer (automatic)",1,DSL,3,"Two year"
0114-PEGZZ,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes,0114-PEGZZ,"2019-04-21 18:07:34",0114-PEGZZ,1,No,0114-PEGZZ,Female,0,No,No,0114-PEGZZ,1,107.55,3645.5,NULL,NULL,1,"Electronic check",2,"Fiber optic",1,Month-to-month
0114-RSRRW,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0114-RSRRW,"2021-03-21 18:07:34",0114-RSRRW,1,Yes,0114-RSRRW,Female,0,Yes,No,0114-RSRRW,3,19.95,187.75,NULL,NULL,3,"Bank transfer (automatic)",3,None,1,Month-to-month
0115-TFERT,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes,0115-TFERT,"2020-04-21 18:07:34",0115-TFERT,1,Yes,0115-TFERT,Male,0,Yes,No,0115-TFERT,1,111.2,2317.1,0115-TFERT,2022-01-31,1,"Electronic check",2,"Fiber optic",1,Month-to-month
0117-LFRMW,No,"No phone service",1,Yes,Yes,Yes,No,No,No,0117-LFRMW,"2018-12-21 18:07:34",0117-LFRMW,1,No,0117-LFRMW,Male,0,Yes,Yes,0117-LFRMW,3,40.2,1448.8,0117-LFRMW,2022-01-31,3,"Bank transfer (automatic)",1,DSL,1,Month-to-month
0118-JPNOY,Yes,No,2,Yes,No,No,No,Yes,No,0118-JPNOY,"2019-11-21 18:07:34",0118-JPNOY,1,Yes,0118-JPNOY,Female,1,No,No,0118-JPNOY,4,85.8,2193.65,NULL,NULL,4,"Credit card (automatic)",2,"Fiber optic",1,Month-to-month
0121-SNYRK,No,"No phone service",1,Yes,No,No,Yes,No,No,0121-SNYRK,"2017-11-21 18:07:34",0121-SNYRK,2,Yes,0121-SNYRK,Male,0,No,No,0121-SNYRK,2,35.4,1748.9,NULL,NULL,2,"Mailed check",1,DSL,2,"One year"
0122-OAHPZ,Yes,Yes,2,No,No,No,No,No,No,0122-OAHPZ,"2021-06-21 18:07:34",0122-OAHPZ,1,Yes,0122-OAHPZ,Female,0,No,No,0122-OAHPZ,1,73.85,511.25,0122-OAHPZ,2022-01-31,1,"Electronic check",2,"Fiber optic",1,Month-to-month
0123-CRBRT,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,0123-CRBRT,"2016-12-21 18:07:34",0123-CRBRT,3,No,0123-CRBRT,Female,0,Yes,Yes,0123-CRBRT,2,88.1,5526.75,NULL,NULL,2,"Mailed check",1,DSL,3,"Two year"
0125-LZQXK,Yes,No,2,No,No,Yes,Yes,Yes,Yes,0125-LZQXK,"2020-10-21 18:07:34",0125-LZQXK,1,Yes,0125-LZQXK,Male,0,No,No,0125-LZQXK,1,101.35,1553.95,0125-LZQXK,2022-01-31,1,"Electronic check",2,"Fiber optic",1,Month-to-month
0128-MKWSG,No,"No phone service",1,Yes,No,No,Yes,No,Yes,0128-MKWSG,"2019-11-21 18:07:34",0128-MKWSG,1,No,0128-MKWSG,Female,0,No,Yes,0128-MKWSG,2,45.8,1147,NULL,NULL,2,"Mailed check",1,DSL,1,Month-to-month
0129-KPTWJ,Yes,No,2,No,No,Yes,No,Yes,Yes,0129-KPTWJ,"2016-01-21 18:07:34",0129-KPTWJ,1,Yes,0129-KPTWJ,Male,0,Yes,No,0129-KPTWJ,1,94.65,6747.35,NULL,NULL,1,"Electronic check",2,"Fiber optic",1,Month-to-month
0129-QMPDR,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0129-QMPDR,"2018-05-21 18:07:34",0129-QMPDR,2,Yes,0129-QMPDR,Male,0,Yes,Yes,0129-QMPDR,3,20.5,865.05,NULL,NULL,3,"Bank transfer (automatic)",3,None,2,"One year"
0130-SXOUN,Yes,Yes,2,No,Yes,No,No,No,Yes,0130-SXOUN,"2016-07-21 18:07:34",0130-SXOUN,1,No,0130-SXOUN,Male,0,No,No,0130-SXOUN,4,89.4,5976.9,NULL,NULL,4,"Credit card (automatic)",2,"Fiber optic",1,Month-to-month
0133-BMFZO,Yes,No,2,Yes,Yes,No,Yes,No,No,0133-BMFZO,"2021-11-21 18:07:34",0133-BMFZO,1,Yes,0133-BMFZO,Female,0,No,No,0133-BMFZO,1,86.25,181.65,0133-BMFZO,2022-01-31,1,"Electronic check",2,"Fiber optic",1,Month-to-month
0134-XWXCE,Yes,No,1,No,No,Yes,Yes,Yes,Yes,0134-XWXCE,"2018-05-21 18:07:34",0134-XWXCE,2,No,0134-XWXCE,Female,1,No,No,0134-XWXCE,3,74.85,3268.05,NULL,NULL,3,"Bank transfer (automatic)",1,DSL,2,"One year"
0135-NMXAP,Yes,Yes,2,No,Yes,No,No,Yes,No,0135-NMXAP,"2021-01-21 18:07:34",0135-NMXAP,1,Yes,0135-NMXAP,Female,0,No,No,0135-NMXAP,3,89.75,1052.4,0135-NMXAP,2022-01-31,3,"Bank transfer (automatic)",2,"Fiber optic",1,Month-to-month
0136-IFMYD,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes,0136-IFMYD,"2016-04-21 18:07:34",0136-IFMYD,3,Yes,0136-IFMYD,Male,1,Yes,No,0136-IFMYD,1,109.95,7634.25,NULL,NULL,1,"Electronic check",2,"Fiber optic",3,"Two year"
0137-OCGAB,Yes,Yes,2,No,Yes,No,No,No,No,0137-OCGAB,"2021-12-21 18:07:34",0137-OCGAB,1,Yes,0137-OCGAB,Female,0,No,No,0137-OCGAB,2,80.2,80.2,0137-OCGAB,2022-01-31,2,"Mailed check",2,"Fiber optic",1,Month-to-month
0137-UDEUO,Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0137-UDEUO,"2021-10-21 18:07:34",0137-UDEUO,1,No,0137-UDEUO,Female,0,No,No,0137-UDEUO,2,19.85,63.75,0137-UDEUO,2022-01-31,2,"Mailed check",3,None,1,Month-to-month
0139-IVFJG,Yes,No,2,Yes,Yes,No,No,Yes,No,0139-IVFJG,"2021-11-21 18:07:34",0139-IVFJG,1,No,0139-IVFJG,Female,0,Yes,No,0139-IVFJG,1,90.35,190.5,NULL,NULL,1,"Electronic check",2,"Fiber optic",1,Month-to-month
